id,name,company,sector,njsector,gender,base,bonus,basebonus,salaryother,moneyall,tier,,option
535,Cindy Hallberlin,Good360,Nonprofit,Public Interest Groups,female,189557,0,189557,0,189557,bottom,,<option value='bubble_535'>Cindy Hallberlin</option>
536,Bob King,UAW-International Union,Union,Labor Unions,male,189527,0,189527,0,189527,bottom,,<option value='bubble_536'>Bob King</option>
537,Julie Scofield,National Alliance of State and Territorial AIDS Directors,Prof,Health,female,172916,0,172916,14524,187440,bottom,,<option value='bubble_537'>Julie Scofield</option>
538,Stephen B. Haterius,National Association of State Departments of Agriculture,Trade,Government,male,181482,0,181482,0,181482,bottom,,<option value='bubble_538'>Stephen B. Haterius</option>
539,Leo W. Gerard,United Steelworkers,Union,Labor Unions,male,168569,0,168569,10041,178610,bottom,,<option value='bubble_539'>Leo W. Gerard</option>
540,Cecil E. Roberts,United Mine Workers of America,Union,Labor Unions,male,178119,0,178119,0,178119,bottom,,<option value='bubble_540'>Cecil E. Roberts</option>
541,David J. Kramer,Freedom House,ThinkTank,Think Tank,male,175000,0,175000,90,175090,bottom,,<option value='bubble_541'>David J. Kramer</option>
542,Homer Townsend,Paralyzed Veterans of America,Nonprofit,Public Interest Groups,male,171288,0,171288,2433,173721,bottom,,<option value='bubble_542'>Homer Townsend</option>
543,Deepak Bhargava,Center for Community Change,Nonprofit,Public Interest Groups,male,171843,0,171843,0,171843,bottom,,<option value='bubble_543'>Deepak Bhargava</option>
544,Dana M. Jones,United Planning Organization,Nonprofit,Public Interest Groups,male,138237,0,138237,30000,168237,bottom,,<option value='bubble_544'>Dana M. Jones</option>
545,Alex Counts,Grameen Foundation USA,Nonprofit,Public Interest Groups,male,164806,0,164806,0,164806,bottom,,<option value='bubble_545'>Alex Counts</option>
546,J.B. Schramm,College Summit,Nonprofit,Public Interest Groups,male,164004,0,164004,0,164004,bottom,,<option value='bubble_546'>J.B. Schramm</option>
547,Clifford Guffey,American Postal Workers Union,Union,Labor Unions,male,149382,8608,157990,1660,159650,bottom,,<option value='bubble_547'>Clifford Guffey</option>
548,Amy Noone Frederick,60-Plus Association,Nonprofit,Public Interest Groups,female,135192,15500,150692,0,150692,bottom,,<option value='bubble_548'>Amy Noone Frederick</option>
549,Wenonah Hauter,Food and Water Watch ,Nonprofit,Public Interest Groups,female,150360,0,150360,0,150360,bottom,,<option value='bubble_549'>Wenonah Hauter</option>
550,Ray Hair,American Federation of Musicians of the U.S. and Canada,Trade,"Advertising, media, entertainment",male,143968,0,143968,0,143968,bottom,,<option value='bubble_550'>Ray Hair</option>
551,Phil Radford,Greenpeace,Nonprofit,Public Interest Groups,male,143075,0,143075,0,143075,bottom,,<option value='bubble_551'>Phil Radford</option>
552,Susan B. Skomal,BioOne,Trade,Health,female,142500,0,142500,0,142500,bottom,,<option value='bubble_552'>Susan B. Skomal</option>
553,Paul Tobin,United Spinal Association,Nonprofit,Public Interest Groups,male,139765,0,139765,0,139765,bottom,,<option value='bubble_553'>Paul Tobin</option>
554,Shawna Bader-Blau,American Center for International Labor Solidarity,Union,Labor Unions,female,138824,0,138824,0,138824,bottom,,<option value='bubble_554'>Shawna Bader-Blau</option>
555,Mark A. Mix,National Right to Work Committee,Nonprofit,Public Interest Groups,male,138614,0,138614,0,138614,bottom,,<option value='bubble_555'>Mark A. Mix</option>
556,Jeanette Dwyer,National Rural Letter Carriers' Association,Union,Labor Unions,female,130136,0,130136,6508,136644,bottom,,<option value='bubble_556'>Jeanette Dwyer</option>
557,John Arthur Nunes,Lutheran World Relief,Nonprofit,Public Interest Groups,male,117753,0,117753,0,117753,bottom,,<option value='bubble_557'>John Arthur Nunes</option>
558,Bill Drayton,Ashoka Innovators for the Public,Nonprofit,Public Interest Groups,male,115680,0,115680,0,115680,bottom,,<option value='bubble_558'>Bill Drayton</option>
559,Marian Wright Edelman,Children's Defense Fund/Action Council,Nonprofit,Public Interest Groups,female,111356,0,111356,0,111356,bottom,,<option value='bubble_559'>Marian Wright Edelman</option>
560,Joseph A. Beaudoin,National Active and Retired Federal Employees Association,Union,Labor Unions,male,110969,0,110969,0,110969,bottom,,<option value='bubble_560'>Joseph A. Beaudoin</option>
